GCAM_region_ID,year,category,shares,sce,model,gini
5,2015,d1,0.016690329,SSP5,Gini25,0.479322781
5,2015,d1,0.01669331,SSP1,Gini25,0.479378104
5,2015,d1,0.016687593,SSP2,Gini25,0.479413861
5,2015,d1,0.016703305,SSP3,Gini25,0.479393653
5,2015,d1,0.01670755,SSP4,Gini25,0.479289317
4,2015,d1,0.009840449,SSP5,Gini25,0.574342963
4,2015,d1,0.009855789,SSP1,Gini25,0.57419095
4,2015,d1,0.009886542,SSP4,Gini25,0.573642758
4,2015,d1,0.009851626,SSP2,Gini25,0.574388841
4,2015,d1,0.009879732,SSP3,Gini25,0.573827934
2,2015,d1,0.015217407,SSP1,Gini25,0.532796725
2,2015,d1,0.015274178,SSP4,Gini25,0.531825693
2,2015,d1,0.015284558,SSP3,Gini25,0.531784947
2,2015,d1,0.015249823,SSP5,Gini25,0.532612156
2,2015,d1,0.01527198,SSP2,Gini25,0.53228339
2,2015,d2,0.023082822,SSP5,Gini25,0.532612156
2,2015,d2,0.023136394,SSP2,Gini25,0.53228339
2,2015,d2,0.02302029,SSP1,Gini25,0.532796725
2,2015,d2,0.023126354,SSP4,Gini25,0.531825693
2,2015,d2,0.0231755,SSP3,Gini25,0.531784947
4,2015,d2,0.017333409,SSP2,Gini25,0.574388841
4,2015,d2,0.017395386,SSP4,Gini25,0.573642758
4,2015,d2,0.017350109,SSP1,Gini25,0.57419095
4,2015,d2,0.017382384,SSP3,Gini25,0.573827934
4,2015,d2,0.017328266,SSP5,Gini25,0.574342963
5,2015,d2,0.025413708,SSP5,Gini25,0.479322781
5,2015,d2,0.025427477,SSP4,Gini25,0.479289317
5,2015,d2,0.025413408,SSP1,Gini25,0.479378104
5,2015,d2,0.025402091,SSP2,Gini25,0.479413861
5,2015,d2,0.025423013,SSP3,Gini25,0.479393653
24,2015,d1,0.004461373,SSP2,Gini25,0.638829716
24,2015,d1,0.004461373,SSP1,Gini25,0.638829716
24,2015,d1,0.004461373,SSP5,Gini25,0.638829716
24,2015,d1,0.004461373,SSP4,Gini25,0.638829716
24,2015,d1,0.004461373,SSP3,Gini25,0.638829716
9,2015,d1,0.011384889,SSP1,Gini25,0.535468989
9,2015,d1,0.011430008,SSP4,Gini25,0.53543736
9,2015,d1,0.011388688,SSP3,Gini25,0.53580559
9,2015,d1,0.011405396,SSP2,Gini25,0.535638753
9,2015,d1,0.011429049,SSP5,Gini25,0.535299542
2,2015,d3,0.031586735,SSP5,Gini25,0.532612156
2,2015,d3,0.031635242,SSP2,Gini25,0.53228339
2,2015,d3,0.031568933,SSP1,Gini25,0.532796725
2,2015,d3,0.031678512,SSP4,Gini25,0.531825693
2,2015,d3,0.031695881,SSP3,Gini25,0.531784947
4,2015,d3,0.025198193,SSP2,Gini25,0.574388841
4,2015,d3,0.025190649,SSP5,Gini25,0.574342963
4,2015,d3,0.025286337,SSP4,Gini25,0.573642758
4,2015,d3,0.025211521,SSP1,Gini25,0.57419095
4,2015,d3,0.02527232,SSP3,Gini25,0.573827934
17,2015,d1,0.016008409,SSP1,Gini25,0.493857304
17,2015,d1,0.016008409,SSP5,Gini25,0.493857304
17,2015,d1,0.016008409,SSP3,Gini25,0.493857304
17,2015,d1,0.016008409,SSP4,Gini25,0.493857304
17,2015,d1,0.016008409,SSP2,Gini25,0.493857304
2,2015,d4,0.039583722,SSP5,Gini25,0.532612156
