GCAM_region_ID,sce,year,category,shares,gini,model
5,SSP5,2015,d1,0.016690329,0.479322781,GiniMinHist
5,SSP1,2015,d1,0.01669331,0.479378104,GiniMinHist
5,SSP2,2015,d1,0.016687593,0.479413861,GiniMinHist
5,SSP3,2015,d1,0.016703305,0.479393653,GiniMinHist
5,SSP4,2015,d1,0.01670755,0.479289317,GiniMinHist
4,SSP5,2015,d1,0.009840449,0.574342963,GiniMinHist
4,SSP1,2015,d1,0.009855789,0.57419095,GiniMinHist
4,SSP4,2015,d1,0.009886542,0.573642758,GiniMinHist
4,SSP2,2015,d1,0.009851626,0.574388841,GiniMinHist
4,SSP3,2015,d1,0.009879732,0.573827934,GiniMinHist
2,SSP1,2015,d1,0.015217407,0.532796725,GiniMinHist
2,SSP4,2015,d1,0.015274178,0.531825693,GiniMinHist
2,SSP3,2015,d1,0.015284558,0.531784947,GiniMinHist
2,SSP5,2015,d1,0.015249823,0.532612156,GiniMinHist
2,SSP2,2015,d1,0.01527198,0.53228339,GiniMinHist
2,SSP5,2015,d2,0.023082822,0.532612156,GiniMinHist
2,SSP2,2015,d2,0.023136394,0.53228339,GiniMinHist
2,SSP1,2015,d2,0.02302029,0.532796725,GiniMinHist
2,SSP4,2015,d2,0.023126354,0.531825693,GiniMinHist
2,SSP3,2015,d2,0.0231755,0.531784947,GiniMinHist
4,SSP2,2015,d2,0.017333409,0.574388841,GiniMinHist
4,SSP4,2015,d2,0.017395386,0.573642758,GiniMinHist
4,SSP1,2015,d2,0.017350109,0.57419095,GiniMinHist
4,SSP3,2015,d2,0.017382384,0.573827934,GiniMinHist
4,SSP5,2015,d2,0.017328266,0.574342963,GiniMinHist
5,SSP5,2015,d2,0.025413708,0.479322781,GiniMinHist
5,SSP4,2015,d2,0.025427477,0.479289317,GiniMinHist
5,SSP1,2015,d2,0.025413408,0.479378104,GiniMinHist
5,SSP2,2015,d2,0.025402091,0.479413861,GiniMinHist
5,SSP3,2015,d2,0.025423013,0.479393653,GiniMinHist
24,SSP2,2015,d1,0.004461373,0.638829716,GiniMinHist
24,SSP1,2015,d1,0.004461373,0.638829716,GiniMinHist
24,SSP5,2015,d1,0.004461373,0.638829716,GiniMinHist
24,SSP4,2015,d1,0.004461373,0.638829716,GiniMinHist
24,SSP3,2015,d1,0.004461373,0.638829716,GiniMinHist
9,SSP1,2015,d1,0.011384889,0.535468989,GiniMinHist
9,SSP4,2015,d1,0.011430008,0.53543736,GiniMinHist
9,SSP3,2015,d1,0.011388688,0.53580559,GiniMinHist
9,SSP2,2015,d1,0.011405396,0.535638753,GiniMinHist
9,SSP5,2015,d1,0.011429049,0.535299542,GiniMinHist
2,SSP5,2015,d3,0.031586735,0.532612156,GiniMinHist
2,SSP2,2015,d3,0.031635242,0.53228339,GiniMinHist
2,SSP1,2015,d3,0.031568933,0.532796725,GiniMinHist
2,SSP4,2015,d3,0.031678512,0.531825693,GiniMinHist
2,SSP3,2015,d3,0.031695881,0.531784947,GiniMinHist
4,SSP2,2015,d3,0.025198193,0.574388841,GiniMinHist
4,SSP5,2015,d3,0.025190649,0.574342963,GiniMinHist
4,SSP4,2015,d3,0.025286337,0.573642758,GiniMinHist
4,SSP1,2015,d3,0.025211521,0.57419095,GiniMinHist
4,SSP3,2015,d3,0.02527232,0.573827934,GiniMinHist
17,SSP1,2015,d1,0.016008409,0.493857304,GiniMinHist
17,SSP5,2015,d1,0.016008409,0.493857304,GiniMinHist
17,SSP3,2015,d1,0.016008409,0.493857304,GiniMinHist
17,SSP4,2015,d1,0.016008409,0.493857304,GiniMinHist
17,SSP2,2015,d1,0.016008409,0.493857304,GiniMinHist
2,SSP5,2015,d4,0.039583722,0.532612156,GiniMinHist
2,SSP2,2015,d4,0.039595619,0.53228339,GiniMinHist
2,SSP1,2015,d4,0.039554607,0.532796725,GiniMinHist
2,SSP4,2015,d4,0.039650728,0.531825693,GiniMinHist
2,SSP3,2015,d4,0.039655011,0.531784947,GiniMinHist
5,SSP2,2015,d3,0.036395791,0.479413861,GiniMinHist
10,SSP4,2015,d1,0.013402171,0.410182966,GiniMinHist
10,SSP1,2015,d1,0.013425625,0.40962998,GiniMinHist
5,SSP5,2015,d3,0.036413506,0.479322781,GiniMinHist
10,SSP5,2015,d1,0.013532214,0.408181102,GiniMinHist
10,SSP3,2015,d1,0.013441952,0.410047327,GiniMinHist
