iso,year,Gini_2015,scal_min,GiniMinHist
abw,2015,49.11543323,#N/A,#N/A
afg,2015,33.836907,0.87974734,29.76792894
ago,2015,48.69678638,0.987153793,48.07121739
alb,2015,29.29675829,0.932319761,27.31394668
are,2015,41.38078467,#N/A,#N/A
arg,2015,43.28076904,0.84386525,36.52313697
arm,2015,31.19795103,0.752106169,23.46417142
aus,2015,34.76960881,0.797276366,27.72098737
aut,2015,26.920372,0.760202882,20.46494438
aze,2015,16.83387678,0.989153372,16.65128598
bdi,2015,39.396907,0.878802329,34.62209364
bel,2015,27.400576,0.876421361,24.0144501
ben,2015,49.42039088,0.822225784,40.63471962
bfa,2015,45.66019895,1,45.66019895
bgd,2015,38.016907,0.825901394,31.3982165
bgr,2015,36.993893,0.42634142,15.77202888
bhr,2015,41.38078467,1,41.38078467
bhs,2015,42.8157224,1,42.8157224
bih,2015,32.89479219,0.888769589,29.23589092
blr,2015,37.910557,0.764754917,28.99228488
blz,2015,53.24656233,1,53.24656233
bol,2015,53.894245,0.916372386,49.3871979
bra,2015,57.23143,1,57.23143
brb,2015,46.76660582,0.617038953,28.85681748
brn,2015,45.07396904,#N/A,#N/A
btn,2015,44.22691212,0.986332608,43.62244559
bwa,2015,66.44656233,0.858296351,57.03084197
caf,2015,62.22656233,0.815808959,50.76498703
can,2015,28.171631,0.890522839,25.08748083
che,2015,31.64360818,0.948334872,30.00873711
chl,2015,55.225136,0.947942489,52.3502529
chn,2015,46.318787,0.480513131,22.25678537
civ,2015,49.15908925,0.680078657,33.43204739
cmr,2015,48.797287,0.893767527,43.61343054
cod,2015,48.3387529,1,48.3387529
cog,2015,46.12935994,0.974265402,44.94223941
col,2015,54.65794,0.851904292,46.56333371
com,2015,61.91656233,0.982987689,60.86321852
cpv,2015,53.17656233,1,53.17656233
cri,2015,44.666679,0.71039692,31.73107119
cub,2015,27.036907,0.634114128,17.1444847
cyp,2015,32.42975243,0.811547084,26.31827104
cze,2015,27.376951,0.699461454,19.14912195
deu,2015,29.823812,0.64199477,19.14673132
dji,2015,50.60328323,0.906968001,45.89555862
dnk,2015,24.247877,0.711125368,17.24328046
dom,2015,51.410946,0.981392785,50.45433146
dza,2015,41.09154434,1,41.09154434
ecu,2015,39.319469,0.974615051,38.32134627
egy,2015,36.786907,0.943206633,34.69765469
eri,2015,49.87470165,#N/A,#N/A
esp,2015,32.089947,0.69265411,22.22723368
est,2015,35.27158,0.775993268,27.37050862
eth,2015,39.206907,0.902254701,35.37461615
fin,2015,25.387938,0.740456625,18.79866689
fji,2015,48.75708675,#N/A,#N/A
fra,2015,28.474508,0.848133767,24.15019174
gab,2015,48.154083,1,48.154083
gbr,2015,33.743347,0.740845485,24.99860628
