"sce","region","year","Units","value"
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2020","MtCO2e",763.894049791321
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2025","MtCO2e",878.809382646701
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2030","MtCO2e",998.662508298808
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2035","MtCO2e",1198.71430234278
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2040","MtCO2e",1445.21792314611
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2045","MtCO2e",1739.7627595252
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2050","MtCO2e",1611.81304738064
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2020","MtCO2e",925.113526457881
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2025","MtCO2e",1039.9031133905
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2030","MtCO2e",1155.31660956206
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2035","MtCO2e",1307.89552518092
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2040","MtCO2e",1440.69492179424
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2045","MtCO2e",1586.18690641553
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2050","MtCO2e",1729.43873132424
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2020","MtCO2e",726.002734417749
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2025","MtCO2e",653.65974510562
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2030","MtCO2e",587.078508542674
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2035","MtCO2e",535.6572562469
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2040","MtCO2e",496.408694281061
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2045","MtCO2e",466.664973229712
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2050","MtCO2e",443.398973290387
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2020","MtCO2e",1529.16141129467
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2025","MtCO2e",1453.83616268276
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2030","MtCO2e",1384.89815520626
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2035","MtCO2e",1308.77281792189
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2040","MtCO2e",1230.56943018391
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2045","MtCO2e",1149.5156951265
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2050","MtCO2e",1060.86486302659
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2020","MtCO2e",460.851089677214
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2025","MtCO2e",448.550561102662
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2030","MtCO2e",429.881122110226
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2035","MtCO2e",342.751075582114
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2040","MtCO2e",254.530395514488
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2045","MtCO2e",166.838566756255
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2050","MtCO2e",82.0797961706936
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2020","MtCO2e",751.032844882845
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2025","MtCO2e",557.584766857467
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2030","MtCO2e",360.899709257077
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2035","MtCO2e",271.27619854983
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2040","MtCO2e",180.77206635831
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2045","MtCO2e",90.3076456651027
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2050","MtCO2e",-0.216557777003975
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2020","MtCO2e",1530.24186798773
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2025","MtCO2e",1450.32564446717
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2030","MtCO2e",1347.4459161323
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2035","MtCO2e",1047.05375679995
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2040","MtCO2e",747.601435597195
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2045","MtCO2e",446.620994929841
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2050","MtCO2e",147.321356475374
